"GSM279601_MIX_A.CEL" "GSM279602_MIX_A.CEL" "GSM279603_MIX_A.CEL" "GSM279604_MIX_B.CEL" "GSM279605_MIX_B.CEL" "GSM279606_MIX_B.CEL" "GSM279607_MIX_C.CEL" "GSM279608_MIX_C.CEL" "GSM279609_MIX_C.CEL" "GSM279610_MIX_D.CEL" "GSM279611_MIX_D.CEL" "GSM279612_MIX_D.CEL"
"PDZK1IP1" 4.78802708930903 4.78886844415749 4.81459191637444 4.83299707650177 4.79355748727929 4.96206243927775 4.80385581217644 4.99366955473842 4.82223979457017 4.84084123116855 4.84803402773884 4.8448016831493
"KLHL35" 7.40563158154963 7.41268737308512 7.47157341463625 6.44216277400234 6.34316549812816 6.44752475919842 6.03003000783236 5.9902042848521 6.03793578469267 5.5853807874103 6.07198956619995 5.96382545459495
"PRF1" 6.27274784406828 6.36578401625851 6.40366934399147 6.24245621201806 6.38608972101503 6.35391388609282 6.22893102098644 6.17266304613193 6.45123959361774 6.07272512174485 6.28567972779366 6.21248876346618
"B4GALNT3" 6.42751603811763 6.39922297990383 6.51630238125246 6.41396327790667 6.38395106368084 6.45403568990624 6.25808070333255 6.30933556623485 6.37608598821891 6.00069896801551 6.61362842935527 6.30277114553748
"IRAK2" 3.7951831250094 3.77368222076968 3.82141737293812 3.53523565217925 3.91089240912081 3.76267003016819 3.86186940186995 3.62493958196549 3.95473602432638 3.89152365577546 3.6601606429486 3.92966888597135
"FAM76B" 5.70361930606712 5.77208026342223 5.63217592271243 6.21553259327848 5.92109185642594 5.88755813541451 5.97054153192969 6.19652447964322 5.93240694139975 5.99116156820974 6.28143611968532 6.62497144720074
"AJUBA" 6.00532728160387 5.9446835141502 5.84114947674788 5.39404332665443 5.19466163297824 5.31419358030626 5.55976719501578 5.4331398858436 5.48652164213518 4.88524821440355 5.34257990451184 5.25862130269776
"WBSCR27" 6.01361785903565 5.91141509107835 6.05904323644282 6.11784512332318 6.06443948482713 5.89611472179025 5.89034704964146 6.02872210838795 6.09406744482148 6.01514025869583 5.98170992138168 6.04925741422114
"RASGEF1B" 4.3564435240989 4.3631089234551 4.42733371404031 4.40524605861361 4.43926134777036 4.55848259817885 4.53281957027678 4.4776605462809 4.54116666622228 4.64083714375707 4.59920947939451 4.46032640238643
"C11orf45" 5.2869088011929 5.60998196363505 5.31182805177678 5.31546880326039 4.85499419250737 5.05787634472088 5.25304078803179 5.193169835111 5.2923526592304 4.79512104760044 5.60300137898738 4.89957486234279
"APOBEC3D" 5.29212696347047 5.17053712993123 5.4551065970044 5.23769056491455 5.39644680047589 5.16291659364375 5.21220392156431 5.27270947345149 5.51292556416166 5.15381727517498 5.316080177074 5.12374138708781
"WDFY4" 5.41949544893112 5.44690018381686 5.59804817919992 5.74343900469213 5.82503160033253 5.79178583988918 5.50136372489218 5.68118759906818 5.88142559018758 5.76639919116153 5.42930410554952 5.70302604306467
"FGD2" 9.66592542760415 9.57631068414707 9.57787171725657 9.9965855518444 9.83631069785028 10.1579908807818 9.70090891093617 9.58572218125701 9.57567603030003 9.73025925466924 9.99537805281595 9.77790360254602
"GATS" 6.54433141780537 6.47961713553755 6.66636530934656 6.34609680142528 6.89128191512902 6.49193412557105 6.57825787553366 6.54630146243438 6.69653779810576 6.61475861743352 6.56424724449672 6.81816566857228
"CBS" 9.32735943895587 9.27934007648606 9.27788718153709 9.58758488622929 9.49218711832309 9.4324751509228 9.59005960751702 9.52781239280548 9.50843068712997 9.43508202767461 9.59628852010295 9.34477913300328
"NT5E" 4.16050803679526 3.94005519026955 3.95904978813916 4.00001224180794 4.05280064901872 4.0593779731862 4.14237722262613 4.00078074590434 4.1210957798061 3.93690504324155 4.29874751961723 3.90149580864646
"OSMR" 4.74587527418272 4.91435929644928 4.68179812770398 4.67571099461788 5.251645072569 4.75922024842906 4.95896916415463 4.80313392665917 5.0565121784966 4.92525485730644 4.65084898125903 4.85559296404109
"GPNMB" 3.15670845183232 3.14516245049741 3.24616423679745 3.22662203776381 3.07742387458961 3.06939148709862 3.10208331863029 3.21385240120023 3.17029709967878 3.05639774050597 3.26621468780205 3.25935424816411
"MVB12B" 6.09357167492407 6.00359045004974 6.04808193998326 6.21341023034289 6.10555366847257 6.21562163355221 6.05564113159839 6.12547110989988 6.07725219701253 5.972494514231 6.20667746638249 6.10690628045352
"TMEM136" 6.47733427397535 6.60654139163051 6.51358754385581 6.4471708168924 6.77475620937123 6.66633283048511 6.81652652807082 6.620093693737 6.81654310918137 6.66129951155524 6.61494207915854 6.71298823756935
"SPIN3" 3.19684226684624 3.30655546493647 3.37005015839049 3.06599203836458 3.20931709445068 3.31950625169355 3.31809005235114 3.20973524650649 3.33053717408362 3.52442411540457 3.21081932938512 3.41800116132598
"CDCP1" 5.04002299166124 5.10854924645469 5.05866590457822 5.18934044759677 5.2113919367168 5.20330057128747 4.99608857097527 5.23026544273711 4.97821754501465 5.15181396524367 5.17412441028654 5.10106818674879
"C5orf58" 6.52273404683829 6.49547799286286 6.56131388720558 6.50509748694737 6.54999546394005 6.59637176475648 6.58030269953001 6.3422392281391 6.57811983134411 6.55124844620863 6.52953436036654 6.45248519803722
"MSRB3" 8.19262514646885 8.28567174391737 8.29087067655141 8.44099721939146 8.25414462563453 8.35385687688221 8.34293743327975 8.34678104622247 8.41766464237234 8.28698500701419 8.40527006881586 8.37340097481052
"TWIST2" 4.7765287019255 5.02907851523858 4.96868728709956 5.28874107969761 5.01877460404981 5.11203346547369 5.12874170319705 5.08886008846284 5.06153966443823 4.65143900908983 5.08465357433666 4.73944341993097
"CD300LB" 6.98749567233353 7.03484782900468 7.18667500372813 7.0426235941861 7.04762781769228 7.17515136663097 7.0670395423007 7.08682347779556 7.0617837676896 7.16555500350292 7.19900618591945 7.19090308128155
"PTPRO" 4.21352139269007 4.06635365045488 4.02824740349354 3.99985773607658 4.04970145885567 4.14522740784503 4.15192997181747 4.07471979830687 4.01933669650882 4.21559792398827 4.12981776941189 4.47994246550463
"ITGAL" 8.87356015430739 8.82808974271823 8.7213595248168 8.63560269144809 8.32309910942262 8.34512494153435 8.65979995451112 8.81959938627532 8.68552459216243 8.39570912582086 8.79611254520228 8.58654214120275
"HAVCR2" 6.02713476917066 6.11827082953387 6.14230938230467 6.39356305839651 6.26776641559587 6.35026813008472 6.11416484809733 6.19314577094658 6.29357849895402 6.12040635931912 6.17479910591911 6.08738549855326
