"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"CDCP1" 5.15582931602376 5.32704027860392 5.16315322264817 5.13671861030422 5.01805578131825
"C5orf58" 6.6875677957822 6.45453674349183 6.55650002064051 6.60881969911856 6.5504269390912
"MSRB3" 7.99619827720319 8.27229076333971 8.24882451431079 8.39854470697177 8.38030103782605
"TWIST2" 4.89325650211131 5.02907851523858 5.06602478908845 5.12756062620914 5.09514068381764
"CD300LB" 6.93191077379154 6.89639680246135 6.91555277596566 7.06286136168514 7.05220368093785
"PTPRO" 4.08835091361311 4.18277159818255 4.20584181303532 4.20211481981413 4.08563333416314
"ITGAL" 8.1461544862765 8.97393020422288 8.26107971712819 9.37346247949998 8.67266227333678
"HAVCR2" 5.95018985813629 6.32055451318609 6.41073276787034 6.06668110465711 6.20387167352568
"CYP19A1" 3.41845206011522 3.18202070095885 3.21390317690448 3.55144157068853 3.27701618282779
"DOCK2" 4.46341945783347 4.56685051379917 4.72255789274518 4.59290203260887 4.54238903294433
"CYTH4" 5.03068614606994 4.99939856785358 5.11658996222375 5.40976792131813 5.22046875714438
"DRAXIN" 4.45332874170226 4.51855437111921 4.4108654235263 4.50512508478412 4.40211858620549
"STAP1" 5.14864117064614 9.10821162997184 9.89408137172043 5.53140913853812 8.12797322914893
"TRAM2" 7.22029173271582 6.54183487637605 6.73385115713261 7.01338243390089 6.81275569136332
"CLEC7A" 6.10142751811544 6.26268755404994 7.09495469308145 6.32868767642756 6.48407282233589
"ATF3" 5.30213993428564 5.5367275445617 5.55195474350058 5.4397021292342 5.62016301778089
"KIAA1217" 4.14495350957122 4.304326120701 4.15377565142196 4.1252357240216 4.22995551994846
"BEST1" 7.9305549384152 7.74995970517263 7.59327752447864 8.39776754202685 8.15263673230842
"ST8SIA4" 3.82930248000279 4.3001189673808 3.69358352720721 3.37849756892153 3.74073511165343
"CRTAP" 7.74868070549329 7.67673380499057 8.5085202179737 9.42826043516586 8.68065900641036
"TMEM37" 8.16594418538745 8.0969908205137 8.26508018495094 8.42176659461219 8.31220161798679
"OSCAR" 5.22994412932734 5.32388670966696 5.35709867756311 5.51112426778216 5.31239256747447
"PIK3AP1" 5.37260007873029 7.13040895012834 9.2447879643351 8.31440784633881 8.07334067531502
"C2" 4.35429373992957 4.7470444362057 4.87068435144939 4.62136089609833 4.63883227087179
"DPYD" 6.15324859840514 6.10662047685724 6.61583468355319 6.20977273176399 6.38589914802211
"FAM13C" 3.74400364791159 3.80780993338812 3.83438693027922 3.68437904223474 3.66442390613507
"APBB1IP" 5.2017188816963 5.02872658975009 5.10214577412923 5.01046626464428 5.16678998493985
"ARHGAP27" 5.29361828484783 4.23821396039066 4.40478230579208 4.46338050097123 4.47101951001425
"LMNA" 5.72342461865434 8.40358131036744 6.58076875383498 9.65495264570308 8.68095205852132
"PTBP2" 6.99996003247441 5.43653268084763 6.01886724778047 6.30887551469922 5.86677230123801
"SERPINB8" 7.81658219264221 7.31837325023439 7.53527400127768 7.94365459339735 7.59880482295114
"MAST4" 5.27151558666753 5.28437113749309 5.51852347172328 5.29254504524506 5.28538605597416
"METTL8" 8.31206728354616 9.75672629650288 8.49961535592656 7.8047493966494 8.66929919698959
"SRGN" 4.62643046107055 5.4540726174121 4.95843557538638 6.52701605846365 5.76482003786549
"LAPTM4B" 10.0079653298922 4.341263088825 4.44833758222842 9.38214802271498 8.24894366598678
"ADAMTS9" 3.95706638100622 3.93183705231506 3.99927574862 4.14105808348627 3.95478757791619
"KCNMB1" 4.45808176915254 4.14786069698207 4.14553057236441 4.52119734643787 4.26218762093861
"TRPM3" 4.52518929043714 4.34339119002374 4.28197643010667 4.40717327290233 4.37293929299422
"ARHGAP29" 4.940536181698 4.96043982049066 5.0313748366216 4.9292179051945 5.05611085740227
"RALGPS1" 4.99950210373999 5.25343917342404 5.40774298955438 5.1515766261982 5.10103841160992
"PHLDB2" 3.17365225158695 3.14835394838743 3.30806167719095 3.17701964083004 3.13172212397873
"CNTN1" 3.76210904111877 3.89485771947165 3.89485771947165 3.78483213494842 3.70005215901243
